0,links,names
10-Year Treasury Constant Maturity Minus 2-Year Treasury Constant Maturity,,
/series/T10Y2Y,,
Real Gross Domestic Product,,
/series/GDPC1,,
Consumer Price Index for All Urban Consumers: All Items,,
/series/CPIAUCSL,,
Effective Federal Funds Rate,,
/series/FEDFUNDS,,
10-Year Treasury Constant Maturity Rate,,
/series/DGS10,,
Civilian Unemployment Rate,,
/series/UNRATE,,
Gross Domestic Product,,
/series/GDP,,
ICE BofAML US High Yield Master II Option-Adjusted Spread,,
/series/BAMLH0A0HYM2,,
"3-Month London Interbank Offered Rate (LIBOR), based on U.S. Dollar",,
/series/USD3MTD156N,,
3-Month Treasury Bill: Secondary Market Rate,,
/series/TB3MS,,
S&P/Case-Shiller U.S. National Home Price Index,,
/series/CSUSHPINSA,,
M2 Money Stock,,
/series/M2,,
10-Year Treasury Constant Maturity Minus 3-Month Treasury Constant Maturity,,
/series/T10Y3M,,
"1-Month London Interbank Offered Rate (LIBOR), based on U.S. Dollar",,
/series/USD1MTD156N,,
Real Median Household Income in the United States,,
/series/MEHOINUSA672N,,
10-Year Breakeven Inflation Rate,,
/series/T10YIE,,
Moody's Seasoned Aaa Corporate Bond Yield,,
/series/AAA,,
St. Louis Adjusted Monetary Base,,
/series/BASE,,
All Employees: Total Nonfarm Payrolls,,
/series/PAYEMS,,
